"cod_coordenacao_regional";"coordenacao_regional";"cod_escola";"escola";"tipo_escola";"cod_bloco_predio";"bloco_predio";"cod_ambiente_fisico";"ambiente_fisico";"tipo_ambiente";"funcao_origem";"funcao_utilizacao";"ambiente_fisico_descricao";"ambiente_fisico_area_m2"
4;CRE - Ceilândia;386;CENTRO EDUCACIONAL 07 DE CEILÂNDIA;pública;922;B;43.919;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;386;CENTRO EDUCACIONAL 07 DE CEILÂNDIA;pública;922;B;43.920;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;386;CENTRO EDUCACIONAL 07 DE CEILÂNDIA;pública;922;B;43.921;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;386;CENTRO EDUCACIONAL 07 DE CEILÂNDIA;pública;922;B;43.922;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;386;CENTRO EDUCACIONAL 07 DE CEILÂNDIA;pública;922;B;43.923;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;386;CENTRO EDUCACIONAL 07 DE CEILÂNDIA;pública;922;B;43.924;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;386;CENTRO EDUCACIONAL 07 DE CEILÂNDIA;pública;922;B;43.925;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;386;CENTRO EDUCACIONAL 07 DE CEILÂNDIA;pública;922;B;43.926;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;386;CENTRO EDUCACIONAL 07 DE CEILÂNDIA;pública;922;B;43.927;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;386;CENTRO EDUCACIONAL 07 DE CEILÂNDIA;pública;922;B;43.928;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;386;CENTRO EDUCACIONAL 07 DE CEILÂNDIA;pública;922;B;43.929;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
16;CRE - Recanto das Emas;112;CENTRO EDUCACIONAL MYRIAM ERVILHA;pública;1.231;C;60.049;Sala 03;ADM/SERVIÇOS;DEPÓSITO;DEPÓSITO;;36
16;CRE - Recanto das Emas;112;CENTRO EDUCACIONAL MYRIAM ERVILHA;pública;1.231;C;60.050;Sala 04;ADM/SERVIÇOS;SALA DE REFORÇO;SALA DE REFORÇO;;36
16;CRE - Recanto das Emas;112;CENTRO EDUCACIONAL MYRIAM ERVILHA;pública;1.231;C;60.051;Sala 05;ADM/SERVIÇOS;SALA DE LEITURA;SALA DE LEITURA;;36
4;CRE - Ceilândia;874;ESCOLA CLASSE 68 DE CEILÂNDIA;pública;3.048;"3";87.191;"3 A";PRÓPRIO;SALA DE AULA;SALA DE AULA;;36
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.282;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.283;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.284;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.285;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.286;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.287;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.288;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.289;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.290;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.291;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.292;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.293;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.294;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.295;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.296;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.297;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.298;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.299;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.300;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.301;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.302;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.303;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.304;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
11;CRE - Taguatinga;322;CENTRO DE ENSINO MÉDIO EIT;pública;2.666;S;43.305;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.994;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.995;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.996;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.997;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.998;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.999;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;43.000;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;43.001;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;43.002;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;43.003;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;43.004;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;43.005;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.966;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.967;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.968;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.969;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.970;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.971;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.972;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.973;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.974;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.975;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.976;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.977;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.978;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.979;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.980;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.981;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.982;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.983;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.984;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.985;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.986;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.987;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.988;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.989;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.990;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.991;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.992;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;278;CENTRO EDUCACIONAL DO LAGO NORTE;pública;261;A;42.993;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.798;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.799;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.800;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.801;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.802;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.803;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.804;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.805;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.806;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.807;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.808;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.809;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.810;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.811;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.812;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.813;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.814;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.815;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.816;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.817;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.818;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.819;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.820;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.821;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.822;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.823;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.824;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.825;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.826;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.827;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.828;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.829;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.830;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.831;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.832;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.833;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.834;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
4;CRE - Ceilândia;195;Centro Educacional Incra 09;pública;179;A;42.835;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.836;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.837;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.838;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.839;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.840;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.841;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.842;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.843;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.844;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.845;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.846;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.847;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.848;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.849;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.850;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.851;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
3;CRE - Plano Piloto e Cruzeiro;272;CENTRO DE ENSINO MÉDIO SETOR OESTE;pública;255;A;42.852;Sala criada na importação dados;PRÓPRIO;SALA DE AULA;SALA DE AULA;Sala criada na importação dados;0
