"cod_coordenacao_regional";"coordenacao_regional";"cod_escola";"escola";"tipo_escola";"cod_bloco_predio";"bloco_predio";"cod_ambiente_fisico";"ambiente_fisico";"tipo_ambiente";"funcao_origem";"funcao_utilizacao";"ambiente_fisico_descricao";"ambiente_fisico_area_m2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.506;T 50;ADM/SERVIÇOS;ÁREA DE SERVIÇO;ÁREA DE SERVIÇO;;"31;2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.507;T 57;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"7;8"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.508;T 54;ADM/SERVIÇOS;SALA DE PROFESSORES;COORDENAÇÃO;;"15;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.509;T 47;ADM/SERVIÇOS;VESTIÁRIO;VESTIÁRIO;;"15;6"
15;CRE - São Sebastião;573;CAIC UNESCO;pública;1.065;B;200.510;Sala 31;ADAPTADO;BANHEIRO;BANHEIRO;DRE;"15;36"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.511;T 01;ADM/SERVIÇOS;VESTIÁRIO;VESTIÁRIO;;"31;2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.512;T 22;ADM/SERVIÇOS;DEPÓSITO;MECANOGRAFIA / REPROGRAFIA;;"15;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.513;T 23;ADM/SERVIÇOS;ASSISTÊNCIA;ASSISTÊNCIA;;"15;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.514;T 24;ADM/SERVIÇOS;DEPÓSITO;DEPÓSITO;;"15;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.515;T 25;ADM/SERVIÇOS;SALA DE MULTIMÍDIA;SALA DE ORIENTAÇÃO EDUCACIONAL;;"31;2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.516;T 29;ADM/SERVIÇOS;LABORATÓRIO DE INFORMÁTICA;LABORATÓRIO DE INFORMÁTICA;;"100;2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.517;T 30;ADM/SERVIÇOS;SALA ESPECIAL;SALA ESPECIAL;;"15;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.518;T 33;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"2;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.519;T 55;ADM/SERVIÇOS;SALA DE APOIO;SALA DE APOIO;;"15;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.520;T 32;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"2;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.521;T 37;ADM/SERVIÇOS;COPA;COPA;;"10;4"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.522;T 21;ADM/SERVIÇOS;VESTIÁRIO;BANHEIRO;;"31;2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.523;T 26;ADM/SERVIÇOS;SALA ESPECIAL;SALA DE RECURSOS;;"31;2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.524;T 38;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"2;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.525;T 18;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"2;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.673;S;200.526;S 35;PRÓPRIO;SALA DE AULA;SALA DE AULA;EC 01 RF;"46;8"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.527;T 15;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"2;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.528;T 42;ADM/SERVIÇOS;REFEITÓRIO;REFEITÓRIO;;"218;4"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.529;T 44;ADM/SERVIÇOS;SALA DE SERVIDORES;SALA DE SERVIDORES;;"7;8"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.530;T 66;ADM/SERVIÇOS;ÁREA DE SERVIÇO;ÁREA DE SERVIÇO;;"7;8"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.531;T 43;ADM/SERVIÇOS;COZINHA;COZINHA;;98
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.532;T 12;ADM/SERVIÇOS;SALA DE SERVIDORES;SALA DE SERVIDORES;;"10;4"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.533;T 70;ADM/SERVIÇOS;VESTIÁRIO;VESTIÁRIO;;"10;4"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.534;T 69;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"2;6"
