code;name;total_rooms;used_rooms;amount_employees;technical_or_high_school
53068122;CEF 28 DE CEILANDIA;25;25;91;false
53068130;EC 66 DE CEILANDIA;24;24;105;false
53068149;CEF 32 DE CEILANDIA;24;24;84;false
53068157;CEF 02 DA ESTRUTURAL;26;26;121;false
53011759;COL PROGRESSAO;9;9;15;false
53011783;ESC MASTER;14;14;32;false
53011791;C INTEGRADO EXCELSUS;10;10;16;false
53088034;OBRA SOCIAL NOSSA SENHORA DE FATIMA;0;0;0;false
53005589;INST MONTE HOREBE SOBRADINHO;0;0;0;false
53014600;EC 404 DO RECANTO DAS EMAS;13;13;74;false
53015100;ESC DE EDUC INF DANNY;8;8;16;false
53015800;INST DE EDUC LUIZ HERMANI;6;6;31;false
53016300;CEPI JATOBA;9;9;40;false
53016700;CEPI SUCUPIRA;9;9;31;false
53017200;ESC INF MEU PEQUENO PRINCIPE;9;9;21;false
53018800;EDUCANDARIO JOSE DE ALENCAR - EDUCAR;9;9;40;false
53027000;COL ALUB - SEDE II;19;19;103;false
53036000;COL PASSOS DO SABER;7;3;4;false
53042000;ESC AGUA VIVA;6;6;10;false
53056000;COL OLIMPO;52;52;206;false
53012615;CEI 416-516 DE SANTA MARIA;10;10;52;false
53012623;CEM 404 DE SANTA MARIA;18;18;102;false
53012631;CEP - ESC TECNICA DE PLANALTINA;11;11;155;false
53012666;CEF BONSUCESSO;8;8;47;false
53012674;CR PIONEIRA DA VILA PLANALTO;7;7;43;false
53012682;ESC C COMUNITARIO DA CRIANCA;28;28;164;false
53012690;C DE CONVIVENCIA E EDUCACAO INFANTIL SAGRADA FAMILIA;12;12;53;false
53016130;C UNIVERSITARIO DE BRASILIA - TAGUATINGA;0;0;0;false
53008758;COL EVANGELICO AMIGOS DO PAI;0;0;0;false
53062000;CR RECANTO FELIZ;0;0;0;false
53001320;COL MADRE CARMEN SALLES;39;36;149;false
53001338;COL MARISTA DE BRASILIA - EDUC INF E ENS FUND;58;58;257;false
53001346;COL MARISTA DE BRASILIA - ENSINO MEDIO;34;16;120;false
53001354;COL MILITAR DE BRASILIA;89;75;550;false
53001362;COL NOTRE DAME;35;29;143;false
53001389;COL SAGRADO CORACAO DE MARIA;32;32;183;false
53013352;COL MILITAR DOM PEDRO II;41;41;362;false
53013360;ASSOC DE PAIS E AMIGOS DEFICIENTES AUDITIVOS - APADA - DF;6;6;10;false
53013379;COL CANTINHO DO SABER;10;10;18;false
53013387;C EDUCATIVO PASSIONISTA MAE DA SANTA ESPERANCA;28;28;69;false
53013395;ESC E RECREACAO GENTE QUE CRESCE;7;7;8;false
53013425;INST TECNICO EDUCACIONAL MADRE TERESA;50;50;550;false
53013433;COL TEMPO REAL;9;7;8;false
53013441;CED CETESI;50;50;122;false
53013450;INSEF - INST DE EDUC FENIX;14;13;51;false
53013476;COL ISAAC NEWTON;50;50;47;false
53013484;EC 104 DE SAO SEBASTIAO;20;20;72;false
53013492;EC BASEVI;8;8;45;false
53009843;ESC MAT E JI MATITA PERE;0;0;0;false
53016068;C UNIVERSITARIO DE BRASILIA;0;0;0;false
53002008;ESC FUND ALVACIR VITE ROSSI;18;17;54;false
53014170;EDUCANDARIO DE MARIA;35;23;80;false
53014189;EDUCANDARIO DE MARIA - EDUC INF;8;8;16;false
53014227;CEF 03 DO PARANOA;16;16;109;false
53014235;EC 100 DE SANTA MARIA;14;14;80;false
53014243;CE ARTE E MANHA - CENAM;7;7;9;false
53014260;CEF 602 DO RECANTO DAS EMAS;21;20;108;false
53014278;EC VALE VERDE;3;3;19;false
53014286;EC 303 DE SAO SEBASTIAO;16;15;70;false
53014294;CEF 418 DE SANTA MARIA;22;22;96;false
53014308;CED POMPILIO MARQUES DE SOUZA;16;16;113;false
53014316;CED VALE DO AMANHECER;16;15;62;false
53014324;ESC BEM-ME-QUER;8;8;46;false
53014332;COL MULTIPLO;13;12;25;false
53014340;COL MEGA;20;16;30;false
53013956;CR GOTINHA DE LUZ;0;0;0;false
53087003;CED SANTOS DUMONT - CESAN;0;0;0;false
53014065;CE CONSTRUINDO O FUTURO;0;0;0;false
53015584;CEF 04 DO PARANOA;11;11;48;false
53015606;INST PAZ E VIDA;10;10;50;false
53015614;CR MAGIA DOS SONHOS;8;8;27;false
53015622;CR PASTOR FRANCISCO MIRANDA;7;7;39;false
53015630;CED BANDEIRANTES - CEBAN;2;2;20;false
53015649;CEI DIDASCALHO SAO JOSE OPERARIO;5;5;26;false
53015665;COL MADRE TERESA;50;50;40;false
53015673;ESC ANA CLARA;17;10;20;false
53015681;COL ROGACIONISTA SOCIAL SANTO ANIBAL;7;4;16;false
53015690;CEAV JR AGUAS CLARAS - CED ALMEIDA VIEIRA JUNIOR AGUAS CLARAS;20;20;60;false
53015703;CR BEBE CONFORTO;5;5;24;false
53015711;C DE EDUC INF LUVA LULU - CEILL;5;4;11;false
53015720;ESC LAZER E ARTE;10;8;14;false
53015738;INST SERRANO;13;9;15;false
53015126;ESC DE EDUC INF PEQUENO REINO - CEREI;0;0;0;false
53009991;ESC CASTELINHO FELIZ;0;0;0;false
53007484;COL OSWALDO CRUZ;0;0;0;false
53010825;ESC ROCHA FIRME;0;0;0;false
53014510;ESC ACEMISTA DE EDUC INF ESPACO DA CRIANCA;0;0;0;false
53059000;CR MARIA DE NAZARE;5;5;31;false
53065000;CEI SONHO DE CRIANCA - CEISC;22;22;121;false
53085000;COBIAN - COL BIANGULO;16;16;45;false
53004167;CEI 05 DE TAGUATINGA;8;5;39;false
53004175;EC 27 DE TAGUATINGA;23;17;107;false
53004183;CEI 01 DE TAGUATINGA;8;8;49;false
53004191;EC 29 DE TAGUATINGA;9;8;58;false
53004205;CEI 02 DE TAGUATINGA;9;9;43;false
53004213;EC 39 DE TAGUATINGA;15;12;71;false
53004221;CEF 19 DE TAGUATINGA;15;13;78;false
53004230;EC 41 DE TAGUATINGA;20;13;92;false
53004248;EC 42 DE TAGUATINGA;18;16;70;false
53004256;CEF 17 DE TAGUATINGA;17;15;72;false
53004264;EC 45 DE TAGUATINGA;20;15;67;false
53004272;EC 46 DE TAGUATINGA;11;9;60;false
53001397;COL SANTA ROSA;25;23;126;false
53001419;CR E PRE-ESC FUNDACAO CABO FRIO;50;50;180;false
