code;name;total_rooms;used_rooms;amount_employees
53068130;EC 66 DE CEILANDIA;24.0;24.0;105.0
53068149;CEF 32 DE CEILANDIA;24.0;24.0;84.0
53068157;CEF 02 DA ESTRUTURAL;26.0;26.0;121.0
53011759;COL PROGRESSAO;9.0;9.0;15.0
53011783;ESC MASTER;14.0;14.0;32.0
53011791;C INTEGRADO EXCELSUS;10.0;10.0;16.0
53088034;OBRA SOCIAL NOSSA SENHORA DE FATIMA;0.0;0.0;0.0
53005589;INST MONTE HOREBE SOBRADINHO;0.0;0.0;0.0
53014600;EC 404 DO RECANTO DAS EMAS;13.0;13.0;74.0
53015100;ESC DE EDUC INF DANNY;8.0;8.0;16.0
53015800;INST DE EDUC LUIZ HERMANI;6.0;6.0;31.0
53016300;CEPI JATOBA;9.0;9.0;40.0
53016700;CEPI SUCUPIRA;9.0;9.0;31.0
53017200;ESC INF MEU PEQUENO PRINCIPE;9.0;9.0;21.0
53018800;EDUCANDARIO JOSE DE ALENCAR - EDUCAR;9.0;9.0;40.0
53027000;COL ALUB - SEDE II;19.0;19.0;103.0
53036000;COL PASSOS DO SABER;7.0;3.0;4.0
53042000;ESC AGUA VIVA;6.0;6.0;10.0
53056000;COL OLIMPO;52.0;52.0;206.0
53012615;CEI 416-516 DE SANTA MARIA;10.0;10.0;52.0
53012623;CEM 404 DE SANTA MARIA;18.0;18.0;102.0
53012631;CEP - ESC TECNICA DE PLANALTINA;11.0;11.0;155.0
53012666;CEF BONSUCESSO;8.0;8.0;47.0
53012674;CR PIONEIRA DA VILA PLANALTO;7.0;7.0;43.0
53012682;ESC C COMUNITARIO DA CRIANCA;28.0;28.0;164.0
53012690;C DE CONVIVENCIA E EDUCACAO INFANTIL SAGRADA FAMILIA;12.0;12.0;53.0
53016130;C UNIVERSITARIO DE BRASILIA - TAGUATINGA;0.0;0.0;0.0
53008758;COL EVANGELICO AMIGOS DO PAI;0.0;0.0;0.0
53062000;CR RECANTO FELIZ;0.0;0.0;0.0
53001320;COL MADRE CARMEN SALLES;39.0;36.0;149.0
53001338;COL MARISTA DE BRASILIA - EDUC INF E ENS FUND;58.0;58.0;257.0
53001346;COL MARISTA DE BRASILIA - ENSINO MEDIO;34.0;16.0;120.0
53001354;COL MILITAR DE BRASILIA;89.0;75.0;550.0
53001362;COL NOTRE DAME;35.0;29.0;143.0
53001389;COL SAGRADO CORACAO DE MARIA;32.0;32.0;183.0
53013352;COL MILITAR DOM PEDRO II;41.0;41.0;362.0
53013360;ASSOC DE PAIS E AMIGOS DEFICIENTES AUDITIVOS - APADA - DF;6.0;6.0;10.0
